model_family,responsibility,role,p_switch,significant_corr,CI
doubao,neutral,role_A,1.0,True,"[1.000, 1.000]"
doubao,neutral,role_B,1.0,True,"[1.000, 1.000]"
doubao,neutral,role_C,0.0,True,"[0.000, 0.000]"
doubao,neutral,role_D,0.475,False,"[0.325, 0.625]"
doubao,neutral,role_E,0.4,False,"[0.250, 0.550]"
doubao,neutral,role_F,0.85,True,"[0.725, 0.950]"
doubao,neutral,role_G,1.0,True,"[1.000, 1.000]"
doubao,not_responsible,role_A,1.0,True,"[1.000, 1.000]"
doubao,not_responsible,role_B,1.0,True,"[1.000, 1.000]"
doubao,not_responsible,role_C,0.0,True,"[0.000, 0.000]"
doubao,not_responsible,role_D,0.775,True,"[0.650, 0.900]"
doubao,not_responsible,role_E,0.65,False,"[0.500, 0.800]"
doubao,not_responsible,role_F,0.925,True,"[0.850, 1.000]"
doubao,not_responsible,role_G,1.0,True,"[1.000, 1.000]"
doubao,responsible,role_A,1.0,True,"[1.000, 1.000]"
doubao,responsible,role_B,1.0,True,"[1.000, 1.000]"
doubao,responsible,role_C,0.0,True,"[0.000, 0.000]"
doubao,responsible,role_D,0.225,True,"[0.100, 0.350]"
doubao,responsible,role_E,0.35,False,"[0.200, 0.500]"
doubao,responsible,role_F,0.5,False,"[0.350, 0.650]"
doubao,responsible,role_G,1.0,True,"[1.000, 1.000]"
gemini,neutral,role_A,0.25,True,"[0.125, 0.400]"
gemini,neutral,role_B,0.825,True,"[0.700, 0.925]"
gemini,neutral,role_C,0.0,True,"[0.000, 0.000]"
gemini,neutral,role_D,0.025,True,"[0.000, 0.075]"
gemini,neutral,role_E,0.075,True,"[0.000, 0.175]"
gemini,neutral,role_F,0.0,True,"[0.000, 0.000]"
gemini,neutral,role_G,0.275,True,"[0.150, 0.425]"
gemini,not_responsible,role_A,0.475,False,"[0.325, 0.625]"
gemini,not_responsible,role_B,1.0,True,"[1.000, 1.000]"
gemini,not_responsible,role_C,0.0,True,"[0.000, 0.000]"
gemini,not_responsible,role_D,0.0,True,"[0.000, 0.000]"
gemini,not_responsible,role_E,0.175,True,"[0.050, 0.300]"
gemini,not_responsible,role_F,0.0,True,"[0.000, 0.000]"
gemini,not_responsible,role_G,0.425,False,"[0.275, 0.575]"
gemini,responsible,role_A,0.25,True,"[0.125, 0.400]"
gemini,responsible,role_B,0.675,True,"[0.525, 0.825]"
gemini,responsible,role_C,0.0,True,"[0.000, 0.000]"
gemini,responsible,role_D,0.025,True,"[0.000, 0.075]"
gemini,responsible,role_E,0.225,True,"[0.100, 0.350]"
gemini,responsible,role_F,0.0,True,"[0.000, 0.000]"
gemini,responsible,role_G,0.125,True,"[0.025, 0.225]"
openai,neutral,role_A,0.675,True,"[0.525, 0.825]"
openai,neutral,role_B,1.0,True,"[1.000, 1.000]"
openai,neutral,role_C,0.55,False,"[0.400, 0.700]"
openai,neutral,role_D,0.975,True,"[0.925, 1.000]"
openai,neutral,role_E,0.7,True,"[0.550, 0.825]"
openai,neutral,role_F,0.55,False,"[0.400, 0.700]"
openai,neutral,role_G,0.875,True,"[0.775, 0.975]"
openai,not_responsible,role_A,0.8,True,"[0.675, 0.925]"
openai,not_responsible,role_B,1.0,True,"[1.000, 1.000]"
openai,not_responsible,role_C,0.275,True,"[0.150, 0.425]"
openai,not_responsible,role_D,0.85,True,"[0.725, 0.950]"
openai,not_responsible,role_E,0.775,True,"[0.650, 0.900]"
openai,not_responsible,role_F,0.7,True,"[0.550, 0.825]"
openai,not_responsible,role_G,0.925,True,"[0.825, 1.000]"
openai,responsible,role_A,0.675,True,"[0.525, 0.825]"
openai,responsible,role_B,1.0,True,"[1.000, 1.000]"
openai,responsible,role_C,0.925,True,"[0.825, 1.000]"
openai,responsible,role_D,0.925,True,"[0.825, 1.000]"
openai,responsible,role_E,0.9,True,"[0.800, 0.975]"
openai,responsible,role_F,0.525,False,"[0.375, 0.675]"
openai,responsible,role_G,0.85,True,"[0.725, 0.950]"
